0,1,2,3,4,5,6,7,8,9,10
JPX デリバティブ建玉残高状況（別紙1）,,,,,,,,,,
2026-03-10 00:00:00,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
＜日経225オプション（プット）＞,,,,,,＜日経225オプション（コール）＞,,,,
限月取引,取引高,"当日
建玉残高",前日比,"前日
建玉残高",,限月取引,取引高,"当日
建玉残高",前日比,"前日
建玉残高"
NIKKEI 225 P2603-55250,2,2187,-2,2189,,NIKKEI 225 C2604-52750,1,1,1,0
NIKKEI 225 P2603-55375,0,10,0,10,,NIKKEI 225 C2604-53000,104,650,101,549
NIKKEI 225 P2603-55500,14,1704,-6,1710,,NIKKEI 225 C2604-53250,0,377,0,377
NIKKEI 225 P2603-55625,0,44,0,44,,NIKKEI 225 C2604-53500,2,62,0,62
NIKKEI 225 P2603-55750,2,906,0,906,,NIKKEI 225 C2604-53750,3,147,0,147
NIKKEI 225 P2603-55875,0,36,0,36,,NIKKEI 225 C2604-53875,0,55,0,55
NIKKEI 225 P2603-56000,890,3395,144,3251,,NIKKEI 225 C2604-54000,174,450,102,348
NIKKEI 225 P2603-56125,0,847,0,847,,NIKKEI 225 C2604-54125,4,0,0,0
NIKKEI 225 P2603-56250,0,105,0,105,,NIKKEI 225 C2604-54250,6,2,0,2
NIKKEI 225 P2603-56375,0,19,0,19,,NIKKEI 225 C2604-54375,3,0,0,0
NIKKEI 225 P2603-56500,10,1454,-1,1455,,NIKKEI 225 C2604-54500,109,227,106,121
NIKKEI 225 P2603-56625,0,36,0,36,,NIKKEI 225 C2604-54625,10,10,10,0
NIKKEI 225 P2603-56750,4,319,-3,322,,NIKKEI 225 C2604-54750,3,1,0,1
NIKKEI 225 P2603-56875,0,12,0,12,,NIKKEI 225 C2604-54875,7,1,0,1
NIKKEI 225 P2603-57000,10,2453,-5,2458,,NIKKEI 225 C2604-55000,167,1723,-67,1790
NIKKEI 225 P2603-57125,0,1,0,1,,NIKKEI 225 C2604-55125,4,1,0,1
NIKKEI 225 P2603-57250,0,28,0,28,,NIKKEI 225 C2604-55250,7,11,-150,161
NIKKEI 225 P2603-57375,0,17,0,17,,NIKKEI 225 C2604-55375,2,0,0,0
NIKKEI 225 P2603-57500,3,507,-2,509,,NIKKEI 225 C2604-55500,21,33,-3,36
NIKKEI 225 P2603-57625,0,7,0,7,,NIKKEI 225 C2604-55625,2,2,1,1
NIKKEI 225 P2603-57750,0,18,0,18,,NIKKEI 225 C2604-55750,3,1,0,1
NIKKEI 225 P2603-57875,1,1,-1,2,,NIKKEI 225 C2604-56000,65,950,11,939
NIKKEI 225 P2603-58000,0,866,0,866,,NIKKEI 225 C2604-56125,0,11,0,11
NIKKEI 225 P2603-58125,0,2,0,2,,NIKKEI 225 C2604-56250,1,7,1,6
NIKKEI 225 P2603-58250,1,18,-1,19,,NIKKEI 225 C2604-56375,2,11,0,11
NIKKEI 225 P2603-58375,0,2,0,2,,NIKKEI 225 C2604-56500,17,107,-3,110
NIKKEI 225 P2603-58500,0,330,0,330,,NIKKEI 225 C2604-56625,1,0,0,0
NIKKEI 225 P2603-58750,0,19,0,19,,NIKKEI 225 C2604-56750,6,152,3,149
NIKKEI 225 P2603-58875,0,2,0,2,,NIKKEI 225 C2604-56875,1,1,1,0
NIKKEI 225 P2603-59000,0,909,0,909,,NIKKEI 225 C2604-57000,499,2388,241,2147
NIKKEI 225 P2603-59125,0,2,0,2,,NIKKEI 225 C2604-57125,3,1,1,0
NIKKEI 225 P2603-59250,0,1,0,1,,NIKKEI 225 C2604-57250,2,8,0,8
NIKKEI 225 P2603-59375,0,1,0,1,,NIKKEI 225 C2604-57500,577,920,561,359
NIKKEI 225 P2603-59500,1,11,0,11,,NIKKEI 225 C2604-57625,1,1,0,1
NIKKEI 225 P2603-59750,1,1,-1,2,,NIKKEI 225 C2604-57750,4,14,1,13
NIKKEI 225 P2603-59875,0,6,0,6,,NIKKEI 225 C2604-57875,1,1,0,1
NIKKEI 225 P2603-60000,1,8,0,8,,NIKKEI 225 C2604-58000,174,2362,-113,2475
NIKKEI 225 P2603-60500,0,2,0,2,,NIKKEI 225 C2604-58125,2,2,1,1
NIKKEI 225 P2603-60625,0,4,0,4,,NIKKEI 225 C2604-58250,9,20,-1,21
NIKKEI 225 P2603-61000,0,7,0,7,,NIKKEI 225 C2604-58375,0,2,0,2
NIKKEI 225 P2603-61500,0,1,0,1,,NIKKEI 225 C2604-58500,18,319,2,317
NIKKEI 225 P2603-62000,0,1,0,1,,NIKKEI 225 C2604-58625,2,8,0,8
NIKKEI 225 P2603-65000,2,0,-2,2,,NIKKEI 225 C2604-58750,1,8,0,8
NIKKEI 225 P2603-69000,2,0,-2,2,,NIKKEI 225 C2604-58875,7,1,0,1
NIKKEI 225 P2603-70000,0,10,0,10,,NIKKEI 225 C2604-59000,159,1224,68,1156
限月合計,31969,197837,1388,196449,,NIKKEI 225 C2604-59250,39,340,34,306
,,,,,,NIKKEI 225 C2604-59375,2,3,1,2
NIKKEI 225 P2604-10000,102,774,25,749,,NIKKEI 225 C2604-59500,41,40,22,18
NIKKEI 225 P2604-12000,104,182,18,164,,NIKKEI 225 C2604-59625,0,1,0,1
NIKKEI 225 P2604-14000,59,121,10,111,,NIKKEI 225 C2604-59750,0,15,-151,166
NIKKEI 225 P2604-16000,81,119,13,106,,NIKKEI 225 C2604-60000,1140,3555,806,2749
NIKKEI 225 P2604-18000,62,195,4,191,,NIKKEI 225 C2604-60250,2,3,2,1
NIKKEI 225 P2604-20000,203,239,16,223,,NIKKEI 225 C2604-60375,0,1,0,1
NIKKEI 225 P2604-21000,12,47,5,42,,NIKKEI 225 C2604-60500,20,47,5,42
NIKKEI 225 P2604-22000,14,48,3,45,,NIKKEI 225 C2604-60625,8,31,8,23
NIKKEI 225 P2604-23000,16,101,4,97,,NIKKEI 225 C2604-60750,0,2,0,2
NIKKEI 225 P2604-24000,33,44,6,38,,NIKKEI 225 C2604-61000,381,5438,163,5275
NIKKEI 225 P2604-25000,67,4497,22,4475,,NIKKEI 225 C2604-61125,1,4,0,4
NIKKEI 225 P2604-26000,20,146,0,146,,NIKKEI 225 C2604-61250,1,2,0,2
NIKKEI 225 P2604-27000,15,37,3,34,,NIKKEI 225 C2604-61500,11,370,5,365
NIKKEI 225 P2604-28000,128,155,-69,224,,NIKKEI 225 C2604-61625,1,0,0,0
NIKKEI 225 P2604-29000,14,81,-4,85,,NIKKEI 225 C2604-61750,3,1,0,1
NIKKEI 225 P2604-29500,1,25,-1,26,,NIKKEI 225 C2604-61875,0,3,0,3
NIKKEI 225 P2604-29750,0,1,0,1,,NIKKEI 225 C2604-62000,130,1555,-5,1560
NIKKEI 225 P2604-30000,113,3276,-9,3285,,NIKKEI 225 C2604-62500,25,44,6,38
NIKKEI 225 P2604-30500,0,8,0,8,,NIKKEI 225 C2604-63000,435,3953,-120,4073
NIKKEI 225 P2604-31000,18,61,6,55,,NIKKEI 225 C2604-63500,16,40,3,37
NIKKEI 225 P2604-31250,0,4,0,4,,NIKKEI 225 C2604-64000,101,1075,-1,1076
NIKKEI 225 P2604-31500,1,12,0,12,,NIKKEI 225 C2604-64500,8,31,1,30
NIKKEI 225 P2604-31750,0,2,0,2,,NIKKEI 225 C2604-65000,106,1808,26,1782
NIKKEI 225 P2604-32000,105,196,51,145,,NIKKEI 225 C2604-66000,44,414,16,398
NIKKEI 225 P2604-32250,0,1,0,1,,NIKKEI 225 C2604-67000,40,1501,8,1493
NIKKEI 225 P2604-32500,3,106,2,104,,NIKKEI 225 C2604-68000,45,183,16,167
NIKKEI 225 P2604-32750,0,12,0,12,,NIKKEI 225 C2604-69000,48,299,-1,300
NIKKEI 225 P2604-33000,4,109,0,109,,NIKKEI 225 C2604-70000,115,213,-4,217
NIKKEI 225 P2604-33250,3,10,0,10,,NIKKEI 225 C2604-72500,26,149,-14,163
NIKKEI 225 P2604-33500,2,207,-1,208,,NIKKEI 225 C2604-75000,64,203,56,147
NIKKEI 225 P2604-33750,0,4,0,4,,限月合計,5040,35399,1759,33640
NIKKEI 225 P2604-34000,25,133,5,128,,,,,,
NIKKEI 225 P2604-34250,0,1,0,1,,NIKKEI 225 C2605-37750,0,12,0,12
NIKKEI 225 P2604-34500,0,104,0,104,,NIKKEI 225 C2605-43000,0,1,0,1
NIKKEI 225 P2604-35000,50,205,12,193,,NIKKEI 225 C2605-44000,0,12,0,12
NIKKEI 225 P2604-35250,1,0,-1,1,,NIKKEI 225 C2605-50250,0,50,0,50
NIKKEI 225 P2604-35500,3,110,2,108,,NIKKEI 225 C2605-51500,0,100,0,100
NIKKEI 225 P2604-35750,0,3,0,3,,NIKKEI 225 C2605-52000,0,310,0,310
NIKKEI 225 P2604-36000,17,133,1,132,,NIKKEI 225 C2605-53000,0,30,0,30
NIKKEI 225 P2604-36500,1,100,0,100,,NIKKEI 225 C2605-53250,0,103,0,103
NIKKEI 225 P2604-37000,22,235,6,229,,NIKKEI 225 C2605-53500,0,1,0,1
NIKKEI 225 P2604-37250,0,1,0,1,,NIKKEI 225 C2605-54000,0,8,0,8
NIKKEI 225 P2604-37500,2,101,0,101,,NIKKEI 225 C2605-55000,0,12,0,12
NIKKEI 225 P2604-38000,37,1222,2,1220,,NIKKEI 225 C2605-55500,2,302,2,300
NIKKEI 225 P2604-38250,0,3,0,3,,NIKKEI 225 C2605-55750,0,100,0,100
NIKKEI 225 P2604-38500,28,261,25,236,,NIKKEI 225 C2605-56000,2,252,1,251
NIKKEI 225 P2604-39000,29,310,20,290,,NIKKEI 225 C2605-56500,2,250,0,250
NIKKEI 225 P2604-39250,0,15,0,15,,NIKKEI 225 C2605-57000,1,917,0,917
NIKKEI 225 P2604-39500,7,333,-1,334,,NIKKEI 225 C2605-57500,0,150,0,150
NIKKEI 225 P2604-39750,3,4,-2,6,,NIKKEI 225 C2605-58000,2,303,0,303
NIKKEI 225 P2604-40000,168,2030,16,2014,,NIKKEI 225 C2605-59000,0,850,0,850
NIKKEI 225 P2604-40250,0,3,0,3,,NIKKEI 225 C2605-59375,0,500,0,500
NIKKEI 225 P2604-40500,6,188,-1,189,,NIKKEI 225 C2605-59500,0,395,0,395
NIKKEI 225 P2604-40750,0,4,0,4,,NIKKEI 225 C2605-59750,1,0,0,0
NIKKEI 225 P2604-41000,68,923,1,922,,NIKKEI 225 C2605-60000,46,711,-45,756
NIKKEI 225 P2604-41250,0,21,0,21,,NIKKEI 225 C2605-60125,1,0,0,0
NIKKEI 225 P2604-41500,5,216,1,215,,NIKKEI 225 C2605-61000,0,801,0,801
NIKKEI 225 P2604-41750,0,20,0,20,,NIKKEI 225 C2605-61500,0,165,0,165
